Plot Title: DL5,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 20098520, SEN S/N: 10762331, LBL: Tamb)","RH, % (LGR S/N: 21098500, SEN S/N: 10263331)","Wind Speed, mph (LGR S/N: 20198500, SEN S/N: 21706789)","Wind Direction, ø (LGR S/N: 20198500, SEN S/N: 21706789)","Solar Radiation, W/m² (LGR S/N: 20034090, SEN S/N: 23073988)"
1,1/1/2019 0:00,40.98,96.1,18.2,156,0.11
2,1/1/2019 1:00,42.51,95.3,17.6,157,0.67
3,1/1/2019 2:00,44.06,95.1,12.1,155,0.56
4,1/1/2019 3:00,45.82,94.4,13.4,154,0.22
5,1/1/2019 4:00,47.64,93.7,8.5,162,0.11
6,1/1/2019 5:00,48.96,94.2,4.5,239,0.11
7,1/1/2019 6:00,50.34,77.1,13.7,286,0
8,1/1/2019 7:00,49.44,75.27,15.1,293,0
9,1/1/2019 8:00,43.95,80.1,18.5,294,0.11
10,1/1/2019 9:00,40.01,79.62,13.3,313,2.02
11,1/1/2019 10:00,38,82.6,13.4,320,21.54
12,1/1/2019 11:00,37.34,87.6,15.2,309,28.95
13,1/1/2019 12:00,35.67,89.4,12.3,315,36.8
14,1/1/2019 13:00,34.69,88.1,11.4,316,16.38
15,1/1/2019 14:00,34.47,88.7,10.9,308,12.23
16,1/1/2019 15:00,34.25,88.1,8.8,309,12.9
17,1/1/2019 16:00,34.2,84.6,12,309,14.47
18,1/1/2019 17:00,32.81,83.5,11.5,321,3.03
19,1/1/2019 18:00,31.54,84.7,9.6,324,0
20,1/1/2019 19:00,30.61,84.5,9,326,0
21,1/1/2019 20:00,29.4,84.5,9.8,321,0
22,1/1/2019 21:00,28.67,80.1,7.3,313,0
23,1/1/2019 22:00,28,80.5,7.9,293,0
24,1/1/2019 23:00,27.12,80.5,6.2,306,0
25,1/2/2019 0:00,26.88,80.8,5.9,316,0
26,1/2/2019 1:00,26.45,80.6,7.5,299,0
27,1/2/2019 2:00,26.14,79.46,7.5,311,0
28,1/2/2019 3:00,25.75,77.45,4.6,336,0
29,1/2/2019 4:00,25.56,79.14,4.9,331,0
30,1/2/2019 5:00,25.47,79.6,4.1,305,0
31,1/2/2019 6:00,25.55,80.2,3.8,316,0
32,1/2/2019 7:00,25.17,80.6,4.7,342,0
33,1/2/2019 8:00,25.23,81.4,2.9,299,0.67
34,1/2/2019 9:00,25.46,83.3,3.2,328,16.27
35,1/2/2019 10:00,26.02,81.5,1.9,226,56.66
36,1/2/2019 11:00,26.73,81.9,2,82,90.99
37,1/2/2019 12:00,27.5,80.6,3.7,164,106.14
38,1/2/2019 13:00,28.6,81.2,4.3,112,83.81
39,1/2/2019 14:00,29.96,78.82,5,122,102.33
40,1/2/2019 15:00,30.78,79.54,6.2,128,58.91
41,1/2/2019 16:00,30.93,79.57,5.5,120,16.49
42,1/2/2019 17:00,31.03,80.6,6.5,129,3.14
43,1/2/2019 18:00,31.5,79.89,10.3,138,0
44,1/2/2019 19:00,32.06,80.3,9.8,138,0
45,1/2/2019 20:00,32.87,84,14,149,0
46,1/2/2019 21:00,32.78,89.1,10.4,159,0
47,1/2/2019 22:00,33.08,92.4,9.6,152,0
48,1/2/2019 23:00,33.27,93.7,8.1,150,0
49,1/3/2019 0:00,34.06,94.5,8.3,156,0
50,1/3/2019 1:00,34.45,95.8,9.3,164,0
51,1/3/2019 2:00,35.08,94.9,7.8,174,0
52,1/3/2019 3:00,35.27,96,3.9,203,0
53,1/3/2019 4:00,35.27,95.1,4.6,175,0
54,1/3/2019 5:00,35.5,92.3,6.3,220,0
55,1/3/2019 6:00,34.78,87.4,8.1,281,0
56,1/3/2019 7:00,32.86,83.3,12.3,313,0
57,1/3/2019 8:00,32.11,82,9.8,304,0.56
58,1/3/2019 9:00,31.86,71.07,10.2,299,10.66
59,1/3/2019 10:00,31.54,75.08,11.7,306,24.35
60,1/3/2019 11:00,31.09,77.56,9.1,298,40.73
61,1/3/2019 12:00,31,79.38,5.9,297,46.34
62,1/3/2019 13:00,31.14,80.8,4.6,300,41.18
63,1/3/2019 14:00,31.31,81.1,2.4,315,28.05
64,1/3/2019 15:00,31.62,81.9,1.6,20,18.4
65,1/3/2019 16:00,31.71,82.3,1.8,130,17.05
66,1/3/2019 17:00,31.95,79.21,4.8,287,3.37
67,1/3/2019 18:00,32.12,80.6,4.4,288,0
68,1/3/2019 19:00,31.98,80.1,3.7,292,0
69,1/3/2019 20:00,32.08,81.5,2.6,222,0
70,1/3/2019 21:00,31.93,77.01,3,206,0
71,1/3/2019 22:00,32.09,76.87,3.7,222,0
72,1/3/2019 23:00,32.15,76.8,6,228,0
73,1/4/2019 0:00,32.08,76.5,5.1,229,0
74,1/4/2019 1:00,31.4,77.66,2.8,186,0
75,1/4/2019 2:00,30.56,79.92,3.1,178,0
76,1/4/2019 3:00,28.06,87.6,4.2,151,0
77,1/4/2019 4:00,28.18,85.8,4.9,157,0
78,1/4/2019 5:00,27.55,88.2,5.8,147,0
79,1/4/2019 6:00,28.1,87.9,7.8,145,0
80,1/4/2019 7:00,28.35,87.7,8.1,141,0
81,1/4/2019 8:00,28.28,87.4,7.4,147,3.14
82,1/4/2019 9:00,29.85,85.9,7.1,144,56.21
83,1/4/2019 10:00,33.24,72.81,6.3,155,142.72
84,1/4/2019 11:00,38.62,64.33,4.7,195,216.77
85,1/4/2019 12:00,41.53,69.85,8.4,146,250.77
86,1/4/2019 13:00,41.62,67.79,9.9,157,247.74
87,1/4/2019 14:00,42.14,66.79,10.6,148,192.09
88,1/4/2019 15:00,42.64,67.8,8.9,155,150.01
89,1/4/2019 16:00,42.59,63.63,7.8,162,75.74
90,1/4/2019 17:00,40.69,72.46,6.4,157,12.57
91,1/4/2019 18:00,38.14,75.46,8.1,152,0
92,1/4/2019 19:00,37.26,76.97,8.3,146,0
93,1/4/2019 20:00,36.17,77.42,7.3,149,0
94,1/4/2019 21:00,35.59,76.69,7.2,151,0
95,1/4/2019 22:00,35.13,76.5,6.8,150,0
96,1/4/2019 23:00,34.67,78.92,7.7,149,0
97,1/5/2019 0:00,34.19,83.2,7,148,0
98,1/5/2019 1:00,33.41,89.9,6.4,142,0
99,1/5/2019 2:00,33.09,93.4,4.4,145,0
100,1/5/2019 3:00,33.62,95.6,5.2,136,0
101,1/5/2019 4:00,33.51,96.4,3.9,100,0.11
102,1/5/2019 5:00,33.02,96.9,4.4,37,0
103,1/5/2019 6:00,32.67,98.3,5.7,24,0.22
104,1/5/2019 7:00,32.92,99.5,4.2,101,0.11
105,1/5/2019 8:00,33.32,99.5,3.1,18,1.12
106,1/5/2019 9:00,33.68,99.6,3,336,18.85
107,1/5/2019 10:00,34.66,99.5,2.3,307,68.55
108,1/5/2019 11:00,34.98,99.5,7,307,92.12
109,1/5/2019 12:00,35.16,95.9,5.9,310,136.66
110,1/5/2019 13:00,37.07,85.4,6.9,307,250.77
111,1/5/2019 14:00,38.79,81.2,10.6,306,289.81
112,1/5/2019 15:00,37.86,89.3,9.8,309,138.12
113,1/5/2019 16:00,35.64,94,9.7,310,25.13
114,1/5/2019 17:00,34.06,96.2,10.5,308,2.81
115,1/5/2019 18:00,33.5,92.1,9.1,307,0
116,1/5/2019 19:00,34.02,88.2,8.2,314,0
117,1/5/2019 20:00,33.9,87,5.9,300,0
118,1/5/2019 21:00,33.55,87,4.2,288,0
119,1/5/2019 22:00,32.58,88.7,2.9,193,0
120,1/5/2019 23:00,30.45,96,2.8,171,0.11
121,1/6/2019 0:00,30.77,94.5,4.1,153,0.22
122,1/6/2019 1:00,31.9,93,5.1,159,0.34
123,1/6/2019 2:00,34.25,89.2,4,175,0.79
124,1/6/2019 3:00,35.67,91.4,2,67,0.11
125,1/6/2019 4:00,34.66,94.4,2.3,116,0
126,1/6/2019 5:00,34.5,94.9,2.2,58,0.11
127,1/6/2019 6:00,35.65,97.6,4.5,331,0
128,1/6/2019 7:00,36.62,89.7,9.5,301,0
129,1/6/2019 8:00,37.31,84.2,13.5,300,0.45
130,1/6/2019 9:00,36.59,82.9,14.1,304,9.99
131,1/6/2019 10:00,35.46,82.5,13.1,309,28.05
132,1/6/2019 11:00,34.46,81.3,14,302,42.52
133,1/6/2019 12:00,34.03,82,12.8,297,91.22
134,1/6/2019 13:00,33.06,98.1,15.1,312,83.03
135,1/6/2019 14:00,29.79,85.5,12.3,328,148.89
136,1/6/2019 15:00,30.5,81.2,11.5,323,83.03
137,1/6/2019 16:00,29.71,82.9,12.4,322,37.7
138,1/6/2019 17:00,28.29,79.4,11.7,327,6.17
139,1/6/2019 18:00,27.55,80.3,12.3,324,0
140,1/6/2019 19:00,26.71,81.9,12.6,325,0
141,1/6/2019 20:00,25.52,88.1,9,338,0
142,1/6/2019 21:00,24.59,83.5,10,356,0
143,1/6/2019 22:00,23.28,70.04,8.4,350,0
144,1/6/2019 23:00,22.56,68.33,10.4,340,0
145,1/7/2019 0:00,20.59,74.33,7,357,0
146,1/7/2019 1:00,18.99,76.76,7.6,9,0
147,1/7/2019 2:00,17.33,80.1,7.4,15,0
148,1/7/2019 3:00,15.84,83,6.7,33,0
149,1/7/2019 4:00,14.58,85.2,5.6,46,0
150,1/7/2019 5:00,13.51,82.8,5.4,32,0
151,1/7/2019 6:00,13.03,84.4,2.9,352,0
152,1/7/2019 7:00,13.05,86.7,4,54,0
153,1/7/2019 8:00,13.42,85,2.4,79,3.14
154,1/7/2019 9:00,14.4,82,2.2,81,36.47
155,1/7/2019 10:00,15.91,77.83,4.2,128,95.93
156,1/7/2019 11:00,17.76,59.6,6,168,123.76
157,1/7/2019 12:00,19.44,53.67,8.4,134,152.7
158,1/7/2019 13:00,20.9,54.5,9.4,121,118.26
159,1/7/2019 14:00,21.92,54.72,9.6,136,85.5
160,1/7/2019 15:00,22.86,51.19,11,140,50.15
161,1/7/2019 16:00,23.54,53.98,12.3,133,23.45
162,1/7/2019 17:00,23.85,70.49,11.8,136,2.02
163,1/7/2019 18:00,24.31,60.56,14.2,142,0
164,1/7/2019 19:00,26.1,59.51,14.7,152,0
165,1/7/2019 20:00,27.31,54.99,16.9,150,0
166,1/7/2019 21:00,28.32,48.08,18.7,153,0
167,1/7/2019 22:00,28.6,54.43,15,156,0
168,1/7/2019 23:00,28.61,65.76,13.7,151,0
169,1/8/2019 0:00,27.77,84.8,13.1,145,0.11
170,1/8/2019 1:00,28.09,85.5,12,144,0
171,1/8/2019 2:00,28.97,86.6,15.1,148,0
172,1/8/2019 3:00,29.8,87.3,16.1,160,0
173,1/8/2019 4:00,30.53,88.5,13.1,158,0
174,1/8/2019 5:00,31.23,88.9,14.6,159,0
175,1/8/2019 6:00,31.62,90.1,15.6,161,0
176,1/8/2019 7:00,32.22,90.9,14.5,164,0
177,1/8/2019 8:00,32.29,91.5,15.4,164,2.02
178,1/8/2019 9:00,33.45,90.2,13,164,58.23
179,1/8/2019 10:00,36.22,86.2,11.8,155,238.76
180,1/8/2019 11:00,37.3,87.1,10.7,150,153.04
181,1/8/2019 12:00,37.4,87.7,9.7,138,91.78
182,1/8/2019 13:00,38.31,87.8,9.4,134,164.15
183,1/8/2019 14:00,39.22,86.8,8.7,151,167.63
184,1/8/2019 15:00,39.19,87.5,13.3,152,66.2
185,1/8/2019 16:00,39.9,90.7,10.2,152,50.27
186,1/8/2019 17:00,39.17,91.9,8.6,140,4.6
187,1/8/2019 18:00,40.16,90.6,7.5,154,0
188,1/8/2019 19:00,38.53,93,6.2,144,0
189,1/8/2019 20:00,38.76,92.8,6.4,144,0
190,1/8/2019 21:00,40.07,95.5,6.1,151,0
191,1/8/2019 22:00,39.51,95.9,5.7,158,0
192,1/8/2019 23:00,39.18,95.3,3.4,190,0
193,1/9/2019 0:00,38.3,96.5,3.3,183,0
194,1/9/2019 1:00,36.72,95.5,7.9,270,0
195,1/9/2019 2:00,35.98,92.7,9.7,269,0.11
196,1/9/2019 3:00,36.93,85,13.8,279,0.45
197,1/9/2019 4:00,36.44,86.2,16.2,278,0
198,1/9/2019 5:00,35.77,84.9,14.7,281,0
199,1/9/2019 6:00,35.34,85,11.5,287,0
200,1/9/2019 7:00,34.88,83.3,12.1,280,0
201,1/9/2019 8:00,34.2,85.2,11.7,279,0.22
202,1/9/2019 9:00,34.13,85.6,11,286,12.45
203,1/9/2019 10:00,33.78,81.6,12.1,300,60.14
204,1/9/2019 11:00,32.69,79.26,13.4,305,88.86
205,1/9/2019 12:00,32.1,76.74,11.7,301,59.35
206,1/9/2019 13:00,32.37,73.69,11.8,289,97.5
207,1/9/2019 14:00,31.25,75.5,14.2,295,108.39
208,1/9/2019 15:00,30.58,84.7,12,295,88.19
209,1/9/2019 16:00,29.2,85.3,11.8,295,43.87
210,1/9/2019 17:00,28.65,78.62,11.4,286,11.11
211,1/9/2019 18:00,28.08,76.76,12.4,283,0
212,1/9/2019 19:00,27.87,72.58,13.2,282,0
213,1/9/2019 20:00,27.09,79.66,14.9,282,0
214,1/9/2019 21:00,26.22,79.64,12.8,286,0
215,1/9/2019 22:00,25.67,89.2,13.2,293,0
216,1/9/2019 23:00,24.68,88.8,13.5,286,0
217,1/10/2019 0:00,24.45,79.56,13.2,287,0
218,1/10/2019 1:00,24.52,88.6,14.2,295,0
219,1/10/2019 2:00,23.16,95.1,13.8,299,0
220,1/10/2019 3:00,22.85,92.8,14.1,302,0
221,1/10/2019 4:00,22.01,92.8,14.9,297,0
222,1/10/2019 5:00,22.04,91,15.2,302,0
223,1/10/2019 6:00,21.57,95.7,14.9,298,0
224,1/10/2019 7:00,20.82,96,15.9,300,0
225,1/10/2019 8:00,20.41,97.4,15.4,301,2.24
226,1/10/2019 9:00,20.22,98.1,17.2,301,21.21
227,1/10/2019 10:00,20.24,98.1,16.7,302,44.43
228,1/10/2019 11:00,20.65,98.2,15.5,305,87.18
229,1/10/2019 12:00,20.94,98.3,14.3,309,88.86
230,1/10/2019 13:00,21.18,98.5,15.9,306,97.05
231,1/10/2019 14:00,21.21,98.1,15.2,303,93.35
232,1/10/2019 15:00,21.59,97.8,13.6,311,63.39
233,1/10/2019 16:00,21.6,94.4,14.5,301,27.15
234,1/10/2019 17:00,20.62,89.2,14.9,296,11.44
235,1/10/2019 18:00,20.23,81.9,14.4,297,0
236,1/10/2019 19:00,20.06,77.83,13.3,298,0
237,1/10/2019 20:00,19.41,78.01,15.6,285,0
238,1/10/2019 21:00,18.67,81.3,14.1,289,0
239,1/10/2019 22:00,17.58,82.1,14,296,0
240,1/10/2019 23:00,16.27,95,12.7,303,0
241,1/11/2019 0:00,14.07,92.4,13.2,307,0
242,1/11/2019 1:00,12.13,91,12.9,299,0
243,1/11/2019 2:00,12.24,86.6,12.8,296,0
244,1/11/2019 3:00,12.79,82.8,11.7,290,0
245,1/11/2019 4:00,12.99,81.5,13.6,293,0
246,1/11/2019 5:00,12.87,86.2,10.4,303,0
247,1/11/2019 6:00,12.22,81,13.3,298,0
248,1/11/2019 7:00,11.71,80.6,11.9,297,0
249,1/11/2019 8:00,11.12,77.82,13.4,294,2.69
250,1/11/2019 9:00,10.67,78.19,13.5,295,34.78
251,1/11/2019 10:00,10.76,77.43,12.2,293,79.21
252,1/11/2019 11:00,11.08,82.5,12.1,291,141.15
253,1/11/2019 12:00,11.5,78.25,12.7,294,163.36
254,1/11/2019 13:00,12.25,77.36,10.8,295,171.78
255,1/11/2019 14:00,13.19,73.96,10.1,301,219.69
256,1/11/2019 15:00,14.13,72.72,9.2,325,192.31
257,1/11/2019 16:00,15.3,71.38,8.7,315,162.35
258,1/11/2019 17:00,14.76,75,5.9,326,25.69
259,1/11/2019 18:00,12.33,79.11,2.8,5,0
260,1/11/2019 19:00,8.78,86.6,2.5,54,0
261,1/11/2019 20:00,4.66,88.7,3.3,114,0
262,1/11/2019 21:00,2.88,89.4,3,104,0
263,1/11/2019 22:00,1.8,89.9,2.9,74,0
264,1/11/2019 23:00,0.84,90,3,88,0
265,1/12/2019 0:00,1.54,91.1,3.1,86,0.11
266,1/12/2019 1:00,3.94,91.3,2.7,103,0.22
267,1/12/2019 2:00,5.94,90.4,3.3,119,0
268,1/12/2019 3:00,6.94,91.6,2.7,105,0
269,1/12/2019 4:00,8.13,91.5,2.8,76,0.11
270,1/12/2019 5:00,8.58,91,3.5,54,0
271,1/12/2019 6:00,9.16,90.2,4.1,47,0
272,1/12/2019 7:00,10.4,90.1,3.5,47,0
273,1/12/2019 8:00,11.44,90,3.4,46,3.48
274,1/12/2019 9:00,12.96,89.4,1.4,38,30.97
275,1/12/2019 10:00,15.84,82.2,1.5,31,92.34
276,1/12/2019 11:00,18.63,77.59,4,309,148.44
277,1/12/2019 12:00,19.99,71.92,5.6,323,204.43
278,1/12/2019 13:00,20.54,69.54,5.8,309,224.85
279,1/12/2019 14:00,20.78,67.21,5.8,313,197.47
280,1/12/2019 15:00,21.07,63.74,4.7,333,140.36
281,1/12/2019 16:00,20.46,64.11,4.8,326,63.17
282,1/12/2019 17:00,19.75,69.08,4.2,314,14.03
283,1/12/2019 18:00,19.32,70.74,3.4,335,0
284,1/12/2019 19:00,18.85,72.51,3.9,6,0
285,1/12/2019 20:00,18.62,75.39,3.6,360,0
286,1/12/2019 21:00,18.09,77.05,4.5,23,0
287,1/12/2019 22:00,17.04,76.05,4.9,56,0
288,1/12/2019 23:00,16.2,77.04,5.2,45,0
289,1/13/2019 0:00,15.13,80.8,6.3,36,0
290,1/13/2019 1:00,13.59,82.7,6.2,36,0
291,1/13/2019 2:00,12.56,84.1,6.3,35,0
292,1/13/2019 3:00,12.15,85.3,5.8,44,0
293,1/13/2019 4:00,12.07,85.1,4.9,42,0
294,1/13/2019 5:00,10.65,86,7.4,35,0
295,1/13/2019 6:00,9.18,87.8,7.1,41,0
296,1/13/2019 7:00,7.66,89.8,6.3,44,0
297,1/13/2019 8:00,5.74,90,4.2,50,2.47
298,1/13/2019 9:00,5.25,89.7,4,51,77.19
299,1/13/2019 10:00,9.19,80,4.4,47,266.92
300,1/13/2019 11:00,14.7,58.47,3.6,36,328.97
301,1/13/2019 12:00,18.1,67.11,5,301,376.32
302,1/13/2019 13:00,19.3,69.84,6.5,293,389.56
303,1/13/2019 14:00,20.91,65.46,5.8,310,335.59
304,1/13/2019 15:00,20.93,68.91,6.2,319,211.05
305,1/13/2019 16:00,19.64,70.12,7.1,312,103.11
306,1/13/2019 17:00,17.93,64.31,4.9,308,17.5
307,1/13/2019 18:00,15.93,66.94,3.8,328,0
308,1/13/2019 19:00,14,73.31,3.1,270,0
309,1/13/2019 20:00,10.72,80.6,2.2,113,0
310,1/13/2019 21:00,7.02,85.9,2.5,90,0
311,1/13/2019 22:00,4.98,88.7,3,74,0
312,1/13/2019 23:00,3.31,90.1,3,82,0
313,1/14/2019 0:00,2.37,88.9,3.1,77,0
314,1/14/2019 1:00,1.69,90.2,3.5,76,0
315,1/14/2019 2:00,1.92,90.3,4.2,58,0.22
316,1/14/2019 3:00,3.9,91,4.3,49,0.22
317,1/14/2019 4:00,5.47,91.8,3.1,60,0.11
318,1/14/2019 5:00,6.89,92.7,3.1,48,0
319,1/14/2019 6:00,7.57,94.1,4.1,47,0
320,1/14/2019 7:00,8.15,93.7,3.2,81,0
321,1/14/2019 8:00,8.26,93.2,3.4,119,3.03
322,1/14/2019 9:00,8.02,92.6,2.8,103,37.7
323,1/14/2019 10:00,8.62,93.3,4.3,49,235.17
324,1/14/2019 11:00,12.43,81.6,2.5,61,310.23
325,1/14/2019 12:00,17.65,74.8,1.8,108,419.52
326,1/14/2019 13:00,20.95,72.89,3,222,411.21
327,1/14/2019 14:00,22.66,74.54,4,247,331.89
328,1/14/2019 15:00,23.99,69.92,4.7,257,241.9
329,1/14/2019 16:00,25.14,71.11,4.3,269,138.01
330,1/14/2019 17:00,23.9,69.91,4.1,274,26.14
331,1/14/2019 18:00,21.48,80.8,2.4,282,0
332,1/14/2019 19:00,17.47,86.7,2.1,129,0
333,1/14/2019 20:00,14.2,88.7,2.7,100,0
334,1/14/2019 21:00,11.55,90.1,3.4,107,0
335,1/14/2019 22:00,10.49,90.7,3.1,95,0
336,1/14/2019 23:00,9.41,90.4,3.3,76,0
337,1/15/2019 0:00,8.15,90.9,3.8,64,0
338,1/15/2019 1:00,7.5,91.5,4.2,60,0
339,1/15/2019 2:00,8.17,90.1,4.3,50,0
340,1/15/2019 3:00,7.77,91.2,3.8,52,0
341,1/15/2019 4:00,9.5,91.6,3,66,0.56
342,1/15/2019 5:00,12.11,92.6,2.4,76,0.45
343,1/15/2019 6:00,14.25,94.2,2.3,101,0.34
344,1/15/2019 7:00,17.04,94,3.1,138,0.22
345,1/15/2019 8:00,18.3,93.2,3,133,2.24
346,1/15/2019 9:00,20.03,93.1,3.3,144,23.23
347,1/15/2019 10:00,22.55,89.5,3.4,156,55.54
348,1/15/2019 11:00,25.4,82,4.2,237,74.39
349,1/15/2019 12:00,26.75,81.1,4.9,236,105.24
350,1/15/2019 13:00,27.66,81.1,5.1,246,72.37
351,1/15/2019 14:00,27.93,80.8,3.5,228,45.44
352,1/15/2019 15:00,28,77.57,5.2,236,34.45
353,1/15/2019 16:00,28.33,75.95,4.7,238,33.1
354,1/15/2019 17:00,28.32,75.38,4,228,5.95
355,1/15/2019 18:00,27.96,75.92,3.2,218,0
356,1/15/2019 19:00,27.53,77.2,3,174,0
357,1/15/2019 20:00,27.32,79.42,3.5,147,0
358,1/15/2019 21:00,26.65,80.2,3.9,132,0
359,1/15/2019 22:00,26.41,78.74,3.5,149,0
360,1/15/2019 23:00,25.95,74.96,4,185,0
361,1/16/2019 0:00,26.07,77.13,5,173,0
362,1/16/2019 1:00,26.35,77.88,6.6,164,0
363,1/16/2019 2:00,26.64,79.26,4.7,170,0
364,1/16/2019 3:00,27.08,80.1,4.7,174,0
365,1/16/2019 4:00,27.46,82,3.4,210,0
366,1/16/2019 5:00,27.16,82,12.8,256,0
367,1/16/2019 6:00,25.93,81.3,10.4,254,0
368,1/16/2019 7:00,25.95,80.8,5.7,219,0
369,1/16/2019 8:00,26.68,80.2,4.8,226,1.12
370,1/16/2019 9:00,27.65,82,5.5,228,20.42
371,1/16/2019 10:00,28.71,85.9,8.7,241,76.41
372,1/16/2019 11:00,29.73,82.4,7.8,243,94.7
373,1/16/2019 12:00,31.4,79,15.1,255,213.18
374,1/16/2019 13:00,32.18,76.61,15,258,146.76
375,1/16/2019 14:00,31.88,77.02,12.9,261,58.34
376,1/16/2019 15:00,30.79,94.7,13.8,289,36.91
377,1/16/2019 16:00,28.21,75.5,11.9,304,60.48
378,1/16/2019 17:00,28.43,66.38,13.2,300,18.85
379,1/16/2019 18:00,26.39,64.01,12.1,300,0.11
380,1/16/2019 19:00,24.27,72.26,10,327,0
381,1/16/2019 20:00,21.68,64.64,11.9,317,0
382,1/16/2019 21:00,19.36,71.33,9,322,0
383,1/16/2019 22:00,17.78,74.52,8.8,302,0
384,1/16/2019 23:00,16.74,75.58,8.2,292,0
385,1/17/2019 0:00,15.58,77.72,7,292,0
386,1/17/2019 1:00,14.77,78.98,6,293,0
387,1/17/2019 2:00,13.87,79.87,4.9,287,0
388,1/17/2019 3:00,13.1,80.9,3.6,290,0
389,1/17/2019 4:00,9.55,86.7,2.8,144,0
390,1/17/2019 5:00,6.4,89,3.3,138,0
391,1/17/2019 6:00,5,89.7,3.1,119,0
392,1/17/2019 7:00,4.01,89.3,3,120,0
393,1/17/2019 8:00,3.38,89.7,3.2,93,4.26
394,1/17/2019 9:00,3.9,90.3,3.6,56,54.64
395,1/17/2019 10:00,7.48,91.2,3.8,48,97.5
396,1/17/2019 11:00,13.15,82.3,4.2,94,181.09
397,1/17/2019 12:00,16.86,72.44,5.3,140,261.65
398,1/17/2019 13:00,18.47,70.41,6.5,140,189.84
399,1/17/2019 14:00,20.35,65.04,6.8,139,238.99
400,1/17/2019 15:00,21.75,59.24,6.6,111,196.91
401,1/17/2019 16:00,23.78,58.23,9.7,159,151.81
402,1/17/2019 17:00,23.58,58.17,6,154,36.13
403,1/17/2019 18:00,22.58,61.2,5.6,144,0
404,1/17/2019 19:00,22.76,54.45,5.4,137,0
405,1/17/2019 20:00,24.1,52.63,6.7,148,0
406,1/17/2019 21:00,24.76,62.9,7.7,151,0
407,1/17/2019 22:00,24.49,71.45,9.5,164,0
408,1/17/2019 23:00,23.36,82.4,10.6,158,0
409,1/18/2019 0:00,22.9,84.9,12.6,155,0
410,1/18/2019 1:00,22.74,85.2,13.5,152,0
411,1/18/2019 2:00,22.81,85.9,12.5,152,0
412,1/18/2019 3:00,23.08,86.5,11.2,147,0
413,1/18/2019 4:00,23.28,87.4,12.4,144,0
414,1/18/2019 5:00,23.58,89.8,9.9,147,0
415,1/18/2019 6:00,23.38,92.7,9.3,146,0
416,1/18/2019 7:00,23.59,94.2,9.2,151,0
417,1/18/2019 8:00,23.72,96.2,7.5,149,2.13
418,1/18/2019 9:00,24.12,96.2,7.5,145,13.46
419,1/18/2019 10:00,25.2,93,8.4,148,60.03
420,1/18/2019 11:00,27.47,86.9,8,153,143.62
421,1/18/2019 12:00,29.87,85.5,7,148,136.77
422,1/18/2019 13:00,30.95,84.8,6.3,141,99.41
423,1/18/2019 14:00,32.53,87.3,5.8,239,34.78
424,1/18/2019 15:00,31.05,87,10,308,23.79
425,1/18/2019 16:00,29.86,84.6,8.7,315,31.75
426,1/18/2019 17:00,29.8,84.5,5.2,314,4.26
427,1/18/2019 18:00,29.48,74.02,5.1,301,0
428,1/18/2019 19:00,29.6,66.9,6.6,277,0
429,1/18/2019 20:00,29.51,70.71,4.6,287,0
430,1/18/2019 21:00,29.27,73.59,5.7,282,0
431,1/18/2019 22:00,28.81,80.9,6.6,300,0
432,1/18/2019 23:00,27.94,80.5,6.2,323,0
433,1/19/2019 0:00,27.41,77.45,6.5,314,0
434,1/19/2019 1:00,26.66,80,6.9,316,0
435,1/19/2019 2:00,25.89,82.6,5.7,330,0
436,1/19/2019 3:00,25.48,84.8,4.9,329,0
437,1/19/2019 4:00,25.01,86.8,5.1,316,0
438,1/19/2019 5:00,24.41,88.1,3.8,336,0
439,1/19/2019 6:00,23.69,93.8,4.4,324,0
440,1/19/2019 7:00,20.97,95.4,7.4,311,0
441,1/19/2019 8:00,18.32,93.3,5.8,293,2.02
442,1/19/2019 9:00,16.86,91.9,5.7,301,25.81
443,1/19/2019 10:00,16.43,92.1,5.3,297,71.7
444,1/19/2019 11:00,16.2,93.1,5.2,289,96.49
445,1/19/2019 12:00,16.29,93.3,4.3,291,116.8
446,1/19/2019 13:00,16.97,91.6,3.9,287,117.81
447,1/19/2019 14:00,16.9,93.2,4.5,310,60.03
448,1/19/2019 15:00,17.06,93.2,3.1,285,55.65
449,1/19/2019 16:00,18.02,92.8,2,294,37.47
450,1/19/2019 17:00,17.56,94.5,4,278,7.18
451,1/19/2019 18:00,17.4,94.1,2.6,318,0
452,1/19/2019 19:00,17.22,94,2.9,280,0
453,1/19/2019 20:00,16.93,93.9,2.3,300,0
454,1/19/2019 21:00,17.4,93.6,1.4,299,0
455,1/19/2019 22:00,17.65,95.4,3.1,278,0
456,1/19/2019 23:00,18.57,96.9,4.4,259,0
457,1/20/2019 0:00,18.56,96.9,5,258,0.11
458,1/20/2019 1:00,18.42,97.1,3.3,256,0.11
459,1/20/2019 2:00,18.79,97.3,3.4,272,0
460,1/20/2019 3:00,19.41,97.5,3.2,319,0
461,1/20/2019 4:00,20.26,97.5,3.1,314,0
462,1/20/2019 5:00,20.42,97.7,5.9,305,0
463,1/20/2019 6:00,18.74,96.7,9.4,310,0.11
464,1/20/2019 7:00,17.28,96.4,8.9,314,0
465,1/20/2019 8:00,14.07,95,12.2,300,0.56
466,1/20/2019 9:00,11.84,94.8,11.6,321,17.28
